gair,nifer
ymborth,472
amrywiaeth,472
cymraeg,472
ŵyr,471
llawenydd,471
filoedd,471
hôni,471
wrthddrych,471
manau,471
ddïau,470
milldir,470
llênyddiaeth,470
fed,470
gynnwysedig,469
meistr,469
tros,469
wasanaethu,469
deiliaid,469
iuddewig,468
iol,468
gwnai,467
cyfandir,467
raddol,466
gwas,466
meirw,465
lles,465
bum,465
fyr,465
ganlynol,464
goruchaf,464
fron,464
ngolwg,464
ant,464
sŵn,464
arch,463
ebai,463
hymnau,463
goron,462
mantais,462
ymresymiad,462
cynnal,462
esgyn,462
merch,462
arferol,460
ymladd,460
athrawiaethau,459
gen,458
cydnabod,457
mân,457
gweddïo,457
wledydd,457
gyfryw,456
hau,456
olrhain,456
his,456
olygfa,456
tymmor,455
gyhoeddus,455
perthynol,455
ychwanegol,454
llinell,454
pulpud,454
swyddogion,453
wrthddrychau,453
dadl,453
dybied,453
gwres,453
plwyf,452
sabbath,452
drws,452
drychfeddwl,452
affrica,451
feibion,451
gydnabod,450
bregethau,450
sancteiddrwydd,450
pris,449
anialwch,449
creigiau,448
cyfoeth,448
wr,448
gogoneddus,448
gweithiwr,446
hanesiaeth,446
cromwell,445
anferth,445
hugh,445
enwogrwydd,445
cario,444
wrando,444
gwneir,444
duwinyddiaeth,444
chwedl,442
gwasanaethu,442
deml,442
henry,442
oedran,441
protestanaidd,441
sylfaen,441
bala,440
dewi,440
anfarwol,440
obaith,439
ee,439
ymarferiad,439
draws,439
sefydliadau,439
orchwyl,439
pechodau,438
fedr,438
araf,438
dyledswydd,437
gwaethaf,437
bwrdd,437
gymreig,436
milton,436
llinellau,435
traed,435
thra,435
byddwn,434
ynt,434
ap,433
anwybodus,433
lladd,433
deb,433
ganu,432
bara,432
personau,432
harwain,432
oeddem,431
gysylltiad,431
annhraethol,431
awn,431
gyfiawn,431
ddarfu,431
ddiammheu,431
ffynnon,431
wahaniaeth,430
pell,430
dylem,430
farddoniaeth,430
ymgais,429
oeddym,429
cymhwys,428
treulio,428
welodd,428
more,428
gorphwys,428
apostolaidd,428
feistr,428
plato,427
grêadigaeth,427
gorllewin,426
llwch,426
hedd,426
wyn,426
gyfiawnder,426
enghraifft,426
byddant,426
gallaf,426
gyflwr,425
orchymyn,425
bregethwr,425
adroddiad,425
esbonio,425
gwrthwyneb,424
bae,424
ormod,424
werthfawr,424
pren,424
phethau,424
ofalus,424
llwyddo,424
ymostwng,424
harri,423
caiff,423
ysgrifenwyd,423
iê,423
tywyll,423
fynyd,422
diafol,421
brydferth,421
gauaf,421
gario,421
national,420
gallent,420
cristionogion,420
chymeryd,419
dygwyd,419
ddoeth,419
oddiamgylch,419
ddawn,419
rhys,418
chwithau,418
roddwyd,418
chadw,418
rhywun,418
cyfnewidiad,417
bo,417
barth,417
wrthym,417
gawn,417
niwed,416
synwyrau,416
ieuenctyd,416
goleu,416
chwaith,416
haiarn,415
gymerodd,415
bryn,415
oddiwrthynt,415
ymddangosai,415
urddas,414
odid,414
einioes,414
llenyddol,413
gynnyrchu,413
amcanu,413
gwraig,413
bodolaeth,413
gwelsom,413
gwyrthiau,412
swllt,412
drafferth,412
manteision,412
duwiau,411
rhoddir,411
llosgi,410
hoes,410
deng,409
llywodraethu,409
lefaru,409
dacw,409
oriau,409
dadleu,409
uchder,409
ddiffyg,408
ieithoedd,408
estyn,407
cynnyrchu,406
foreu,406
fater,406
annuwiol,406
anghyffredin,405
wrandaw,404
creadur,404
llawen,404
gam,403
ddywedir,403
athronydd,402
harris,402
bachgen,402
ynghyda,401
ymherawdwr,401
chwil,401
addas,401
wy,401
anhawsder,401
dymuno,401
darfod,400
rheolaidd,400
lliosog,399
gwrth,399
dynolryw,399
gwrthod,399
dychymyg,398
cynnyg,397
lyfrgell,397
noeth,396
feddiant,396
rhagor,396
ddwfr,396
gyfansoddiad,395
acw,395
darlun,394
synu,394
ddystaw,394
gymhorth,394
ymae,393
drigolion,393
vi,392
he,392
lygad,392
rees,392
lythyr,392
rhesymau,392
dinystr,392
ewch,391
archesgob,391
dôn,390
elynion,390
rhufeiniaid,390
satan,390
amddifad,389
achub,389
ddysgeidiaeth,388
gofalu,388
profion,387
droed,387
terfynau,387
eg,386
parhâu,386
may,385
enwad,385
î,385
london,384
anwiredd,384
prophwyd,384
tuedd,384
gweithrediad,384
argraffu,384
cof,384
hanfod,383
hiaith,383
anweledig,383
gwelwn,383
ganwyd,382
yspaid,382
ddiogel,382
sôn,382
athrofa,382
oddef,382
newspapers,382
gyfundrefn,381
merched,381
rhieni,381
mha,380
ymddwyn,380
ngwyneb,380
salmau,380
isaac,380
benderfynol,380
cynnyddu,380
ladd,379
pregethau,379
îs,379
fynai,379
bôd,379
tarddu,378
dywysogaeth,378
gynllun,377
fach,377
glan,377
bersonol,377
bwriadu,376
bwrw,376
penderfyniad,376
bren,376
rheolau,376
pregethwyr,376
adn,375
drin,375
wyddom,375
rhyngddo,375
gweddill,374
ddysgyblion,374
darn,374
arfau,374
en,374
phen,374
brydain,373
luc,373
gobeithio,373
maddeuant,373
gosodiad,373
nuw,372
gyfieithiad,372
lewis,372
gant,372
galed,371
ddyben,371
ymaflyd,371
gymydogaeth,371
lys,370
llywydd,370
dipyn,370
argraphwyd,369
llygredig,369
led,368
ryfedd,368
syn,368
gadarn,367
garu,367
ffafr,367
brofiad,367
wrthod,367
genedloedd,367
nhŷ,367
ir,367
wadu,365
chyn,364
llafurio,364
cafwyd,364
drostynt,364
ymosod,364
llenwi,363
morganwg,363
ymuno,362
rhagddo,362
gwlaw,362
ŷd,362
foddlawn,362
cynnydd,362
this,362
ddylid,361
corfforol,361
daniel,361
fyn,361
faes,361
wydd,360
dymmor,360
castell,360
iago,360
ddyoddef,360
cystal,360
gyru,359
enwi,359
araeth,359
dyfnder,359
salm,359
ddygir,359
duwioldeb,359
gynnyg,359
gwirioneddol,359
barddonol,359
edinburgh,358
llwyth,358
babaidd,358
belled,358
dybiaeth,358
gweithwyr,357
sais,357
lwyr,357
fry,357
dirgelwch,357
gefn,356
gyfoeth,356
hanesyddol,356
feirdd,356
gyfan,356
darostwng,356
caethion,356
saif,355
hawliau,355
ystyrir,355
gwyneb,355
isaf,354
delw,354
unigol,353
gweithred,353
ddewis,353
defodau,353
druan,353
esgeuluso,353
my,353
cychwyn,353
thriugain,353
ddysg,352
hall,352
honom,351
ymherodraeth,351
dyrchafu,351
ddyledus,350
gwaredwr,350
dedwyddwch,350
lleuad,350
cheir,350
hanesyddiaeth,349
gwyddai,349
gyfundraeth,349
ddifrifol,349
amcanion,348
cau,348
wylo,348
samuel,348
fodolaeth,347
pregeth,347
feddu,347
ymddibynu,347
deuai,347
gŵyr,347
eî,347
gysylltiedig,347
